"Centro","Alta Floresta D'Oeste","RO"
"Liberdade","Alta Floresta D'Oeste","RO"
"Cidade Alta","Alta Floresta D'Oeste","RO"
"Santa Felicidade","Alta Floresta D'Oeste","RO"
"Princesa Isabel","Alta Floresta D'Oeste","RO"
"Redondo","Alta Floresta D'Oeste","RO"
"Tucanos","Alta Floresta D'Oeste","RO"
"Centro","Cacoal","RO"
"Jardim Clodoaldo","Cacoal","RO"
"Princesa Isabel","Cacoal","RO"
"Liberdade","Cacoal","RO"
"Novo Horizonte","Cacoal","RO"
"Novo Cacoal","Cacoal","RO"
"Residencial Parque Brizon","Cacoal","RO"
"Vilage do Sol","Cacoal","RO"
"Saúde","Cacoal","RO"
"Teixeirão","Cacoal","RO"
"Floresta","Cacoal","RO"
"INCRA","Cacoal","RO"
"Santo Antônio","Cacoal","RO"
"Industrial","Cacoal","RO"
"Cristal do Arco-Íris","Cacoal","RO"
"Parque Industrial Governador Jerônimo Santana","Cacoal","RO"
"Jardim Bandeirantes","Cacoal","RO"
"Jardim Vista Alegre","Cacoal","RO"
"Conjunto Haley","Cacoal","RO"
"Conjunto Habitacional Nova Esperança","Cacoal","RO"
"Sociedade Bela Vista","Cacoal","RO"
"Centro","Colorado do Oeste","RO"
"Cruzeiro","Colorado do Oeste","RO"
"Jorge Teixeira","Colorado do Oeste","RO"
"Jo Sato","Colorado do Oeste","RO"
"Minas Gerais","Colorado do Oeste","RO"
"Santa Luzia","Colorado do Oeste","RO"
"Odilon Noia","Colorado do Oeste","RO"
"São José","Colorado do Oeste","RO"
"Mato Grosso","Colorado do Oeste","RO"
"Industrial","Colorado do Oeste","RO"
"Centro","Espigão D'Oeste","RO"
"São José","Espigão D'Oeste","RO"
"Morada do Sol","Espigão D'Oeste","RO"
"Caixa D'água","Espigão D'Oeste","RO"
"Liberdade","Espigão D'Oeste","RO"
"Jorge Teixeira de Oliveira","Espigão D'Oeste","RO"
"Vista Alegre","Espigão D'Oeste","RO"
"Novo Horizonte","Espigão D'Oeste","RO"
"Cidade Alta","Espigão D'Oeste","RO"
"Triângulo","Guajará-Mirim","RO"
"Centro","Guajará-Mirim","RO"
"Cristo Rey","Guajará-Mirim","RO"
"Tamandaré","Guajará-Mirim","RO"
"São José","Guajará-Mirim","RO"
"Santa Luzia","Guajará-Mirim","RO"
"Dez de Abril","Guajará-Mirim","RO"
"Caetano","Guajará-Mirim","RO"
"Liberdade","Guajará-Mirim","RO"
"Fátima","Guajará-Mirim","RO"
"Próspero","Guajará-Mirim","RO"
"Serraria","Guajará-Mirim","RO"
"Santo Antônio","Guajará-Mirim","RO"
"Jardim das Esmeraldas","Guajará-Mirim","RO"
"Nossa Senhora Aparecida","Guajará-Mirim","RO"
"Santiago","Ji-Paraná","RO"
"União","Ji-Paraná","RO"
"Centro","Ji-Paraná","RO"
"Urupá","Ji-Paraná","RO"
"Dois de Abril","Ji-Paraná","RO"
"Casa Preta","Ji-Paraná","RO"
"Dom Bosco","Ji-Paraná","RO"
"São Bernardo","Ji-Paraná","RO"
"Jardim Presidencial","Ji-Paraná","RO"
"Parque São Pedro","Ji-Paraná","RO"
"Jardim dos Migrantes","Ji-Paraná","RO"
"Nossa Senhora de Fátima","Ji-Paraná","RO"
"Jotão","Ji-Paraná","RO"
"Duque de Caxias","Ji-Paraná","RO"
"JK","Ji-Paraná","RO"
"Jardim das Seringueiras","Ji-Paraná","RO"
"Nova Brasília","Ji-Paraná","RO"
"Conj. Mário Andreazza","Ji-Paraná","RO"
"Riachuelo","Ji-Paraná","RO"
"Primavera","Ji-Paraná","RO"
"São Pedro","Ji-Paraná","RO"
"Coronel Jorge T. de Oliveira","Ji-Paraná","RO"
"Valparaíso","Ji-Paraná","RO"
"Cafezinho","Ji-Paraná","RO"
"Jardim Flórida","Ji-Paraná","RO"
"São Francisco","Ji-Paraná","RO"
"Alto Alegre","Ji-Paraná","RO"
"União","Ouro Preto do Oeste","RO"
"Bela Floresta","Ouro Preto do Oeste","RO"
"Jardim Bandeirante","Ouro Preto do Oeste","RO"
"Nova Ouro Preto","Ouro Preto do Oeste","RO"
"Jardim Novo Horizonte","Ouro Preto do Oeste","RO"
"Jardim Novo Estado","Ouro Preto do Oeste","RO"
"Da Liberdade","Ouro Preto do Oeste","RO"
"Alvorada","Ouro Preto do Oeste","RO"
"Industrial","Ouro Preto do Oeste","RO"
"Jardim Tropical","Ouro Preto do Oeste","RO"
"Do Incra","Ouro Preto do Oeste","RO"
"Jardim Aeroporto","Ouro Preto do Oeste","RO"
"Juscelino Kubitschek","Porto Velho","RO"
"Flodoaldo Pontes Pinto","Porto Velho","RO"
"Tiradentes","Porto Velho","RO"
"Industrial","Porto Velho","RO"
"Nova Porto Velho","Porto Velho","RO"
"Roque","Porto Velho","RO"
"Liberdade","Porto Velho","RO"
"São João Bosco","Porto Velho","RO"
"São Cristóvão","Porto Velho","RO"
"Nossa Senhora das Graças","Porto Velho","RO"
"Mato Grosso","Porto Velho","RO"
"Tucumanzal","Porto Velho","RO"
"Olaria","Porto Velho","RO"
"Agricolândia","Porto Velho","RO"
"Centro","Porto Velho","RO"
"Caiari","Porto Velho","RO"
"Santa Bárbara","Porto Velho","RO"
"Mocambo","Porto Velho","RO"
"Baixa União","Porto Velho","RO"
"Quilômetro Um","Porto Velho","RO"
"Areal","Porto Velho","RO"
"Triângulo","Porto Velho","RO"
"Militar","Porto Velho","RO"
"Floresta","Porto Velho","RO"
"Panair","Porto Velho","RO"
"Pedrinhas","Porto Velho","RO"
"Embratel","Porto Velho","RO"
"Tancredo Neves","Porto Velho","RO"
"Tupi","Porto Velho","RO"
"Costa e Silva","Porto Velho","RO"
"São Sebastião","Porto Velho","RO"
"Nacional","Porto Velho","RO"
"Lagoa","Porto Velho","RO"
"Agenor M. de Carvalho","Porto Velho","RO"
"Rio Madeira","Porto Velho","RO"
"Eldorado","Porto Velho","RO"
"Aeroclube","Porto Velho","RO"
"Cohab","Porto Velho","RO"
"Castanheira","Porto Velho","RO"
"Caladinho","Porto Velho","RO"
"Nova Floresta","Porto Velho","RO"
"Cidade do Lobo","Porto Velho","RO"
"Eletronorte","Porto Velho","RO"
